id,unitPrice,long,lat
233,67982,116.469116,39.985396
234,44997,116.246727,40.19894
235,51079,116.33641,39.751151
236,78959,116.250397,39.933344
237,39340,116.239857,40.226475
238,60703,116.435732,39.869467
239,59370,116.497948,39.956023
240,68555,116.360706,40.079493
241,60703,116.435732,39.869467
242,66694,116.407526,39.90403
243,55275,116.216589,39.901761
244,62251,116.373865,39.846638
245,60393,116.469271,39.875693
246,32386,116.409424,40.077062
247,51486,116.226391,39.90163
248,59370,116.497948,39.956023
249,50101,116.551292,39.945823
250,70839,116.373356,39.842093
251,59470,116.075597,40.174427
252,89307,116.332633,39.925739
253,119941,116.367724,39.89411
254,46310,116.116815,39.933776
255,50616,116.31184,40.08265
256,47807,116.453958,39.867764
257,73861,116.497755,39.8996
258,69567,116.465318,40.003462
259,58127,116.476602,39.937508
260,41383,116.646489,39.893833
261,48404,116.557408,39.947647
262,97654,116.397582,39.966836
263,38952,116.547724,40.103499
264,52099,116.453958,39.867764
265,54126,116.654397,40.123587
266,69549,116.443383,39.849119
267,81245,116.389239,39.973026
268,60825,116.390175,39.840917
269,50616,116.31184,40.08265
270,69567,116.465318,40.003462
271,73861,116.497755,39.8996
272,32988,116.449,39.89325
273,48404,116.557408,39.947647
274,32891,116.148051,39.718681
275,62646,116.469541,39.881707
276,35278,116.432907,39.815806
277,101770,116.259502,39.916276
278,66609,116.448484,39.883072
279,65800,116.373994,39.843272
280,38952,116.547724,40.103499
281,80472,116.465318,40.003462
282,106617,116.414045,39.895318
283,68621,116.453467,39.873925
284,20795,116.639672,39.650772
285,53815,116.33981,40.091344
286,86089,116.469272,40.006733
287,71905,116.473055,39.926975
288,94617,116.431959,39.900544
289,37568,116.323826,39.729959
290,127889,116.292577,39.936251
291,48992,116.173015,39.92517
292,117539,116.350322,40.003186
293,83563,116.475671,40.000064
294,119184,116.293132,39.940018
295,51555,116.580967,39.957866
296,51559,116.216589,39.901761
297,68844,116.36133,40.077181
298,149939,116.365538,39.87958
299,60911,116.453467,39.873925
300,86356,116.408279,39.980997
301,22592,116.150841,39.724425
302,41994,116.43102,40.114444
303,52274,116.407267,40.056289
304,66320,116.448499,39.83928
305,72141,116.463612,39.994863
306,48553,116.523796,39.82119
307,99074,116.326346,39.924476
308,54211,116.236533,39.900188
309,46213,116.671924,40.123425
310,59623,116.328873,39.774829
311,66883,116.300727,40.099613
312,87720,116.331136,40.043676
313,68390,116.32675,40.069939
314,50122,116.274697,40.194458
315,38341,116.686205,39.932435
316,61976,116.453467,39.873925
317,63043,116.437486,39.85179
318,32923,116.49338,39.79532
319,44011,116.640076,39.889836
320,71055,116.46319,39.88106
321,48544,116.55575,39.9505
322,66667,116.310082,39.760585
323,63530,116.505342,39.896612
324,159299,116.384436,39.953155
325,56992,116.458004,39.884034
326,84286,116.690455,39.913273
327,49624,116.505097,39.925477
328,41866,116.18589,39.773661
329,159299,116.384436,39.953155
330,63530,116.505342,39.896612
331,35907,116.56602,39.800689
332,91966,116.474242,39.895209
333,64721,116.239296,39.899375
334,54549,116.454307,39.878869
335,63544,116.39761,39.864026
336,37351,116.68737,39.87455
337,65012,116.352163,39.842662
338,66667,116.443877,39.924659
339,50269,116.270449,39.880196
340,62939,116.448322,39.880584
341,34793,116.551607,40.10285
342,70831,116.268037,39.930961
343,65578,116.310082,39.760585
344,51730,116.221916,39.901885
345,55533,116.604581,39.915082
346,43660,116.408352,39.857867
347,55992,116.486135,39.783906
348,37408,116.451185,39.76489
349,70999,116.460875,39.95647
350,59939,116.456983,39.894143
351,62296,116.41302,39.839105
352,52711,116.31816,39.776157
353,55822,116.337833,39.764754
354,43921,116.331698,40.076839
355,150082,116.354369,39.909741
356,54940,116.249184,39.89093
357,62700,116.420912,39.865899
358,62247,116.597264,39.929408
359,63842,116.635804,40.330266
360,55610,116.528983,39.826118
361,55832,116.315535,40.076851
362,54028,116.31816,39.776157
363,30816,116.431577,40.10185
364,55927,116.588498,39.913608
365,32570,116.431577,40.10185
366,61271,116.451287,40.108633
367,112137,116.407267,40.056289
368,81475,116.473779,39.912421
369,48040,116.690268,39.891094
370,19332,116.635549,39.649817
371,73100,116.355528,39.864849
372,69646,116.444538,39.905292
373,43149,116.653929,40.179646
374,61647,116.382862,39.837978
375,39814,116.33515,39.746262
376,22375,116.307054,39.626386
377,84610,116.287045,39.926901
378,54985,116.406539,40.052877
379,71273,115.813516,39.570912
380,35758,116.428989,40.067547
381,21819,116.073421,39.712556
382,52253,116.634023,39.904648
383,53767,116.262523,39.891231
384,86186,116.370479,39.954431
